,index,place name,reviewer,score,useravg,comment
8301,45885,칫쵸,richplan,5.0,4.4,"박준수 쉐프님의.신듀 제페니즈 이탈리안 다이닝 칫쵸

다녀온 후기들이 너무 좋아 조만간 방문하고 싶은 곳이네요

다녀와서 다시 후기 올리겠습니다

"
8302,45885,칫쵸,richplan,5.0,4.4,"박준수 쉐프님의.신듀 제페니즈 이탈리안 다이닝 칫쵸

다녀온 후기들이 너무 좋아 조만간 방문하고 싶은 곳이네요

다녀와서 다시 후기 올리겠습니다

"
8303,45886,비노스테이크,unicus,1.0,1.0,"음식은 좋았는데, 서비스가..
가격에 비해 턱없이 모자랍니다.
손님의 불만족에 거꾸로 소리 지르면서 대응하는 점이 매우 불쾌했습니다. 정말 비추천 입니다.
콜키지도 메뉴에 정확히 쓰여있지 않고 처음엔 만원 이랬다~ 2만원 이랬다~ 깍아준 거라했다~ 도대체 알 수가 없었습니다.

"
8304,45886,비노스테이크,noda,4.0,3.4,
8305,45886,비노스테이크,박성호,5.0,3.9,"친절하고 분위기 좋고 맛있어요! 삼박자를 고루 갖춘집!
"
8306,45887,피자스쿨 방배본동점,훈,5.0,4.5,"몇번 방문했어요. 가성비 좋습니다.
"
8307,45887,피자스쿨 방배본동점,부송포레나맘,5.0,3.0,"여기 진짜 깔끔하고 친절하세요!!
"
8308,45887,피자스쿨 방배본동점,박종서,5.0,4.0,"내 최애 단골 일주일 피자 5판 한달동안 살 10키로 찜
"
8309,45887,피자스쿨 방배본동점,안쏠,5.0,3.7,"친절하심
"
8310,45888,파파존스 방배점,JH,1.0,1.4,"인성
"
8311,45888,파파존스 방배점,부스스병아리,5.0,4.4,"다른 지점보다 맛있어요 배달도 빠르게 해주시고 좋습니다
"
8312,45888,파파존스 방배점,홈,4.0,3.0,
8313,45890,봉수아피자 방배사당점,폭풍,5.0,3.7,
8314,45890,봉수아피자 방배사당점,김종현,5.0,5.0,"포테이토 피자가 진짜 맛있어요 가격대비 토핑 중요한 분들이 시키면 좋을듯
"
8315,45893,아침엔,레미,3.0,3.6,"팬케이크가 맛있어요. 단품에 이거저거 추가하니 가성비가 좀 떨어져서(특히 소세지 크기 작아요;;) 다음에는 둘이 와서 든든세트에 단품 팬케이크 시키려고요. 팬케이크랑 와플 반죽에 소금간 좀 덜하시는게 좋을 것 같아요. 짜게 먹는 편인데도 많이 짜네요 특히 와플ㅠ
"
8316,45893,아침엔,SB,5.0,4.5,
8317,45893,아침엔,JYP,5.0,3.8,"제가 고기 안 먹는다고 하니까 바나나랑 계란으로 대체도 해주시고 친절하고 맛있었어요! 또 갈게요 번창하세요 !
"
8318,45893,아침엔,배정두,5.0,5.0,"언제가도 친절하시고 저희 어무니가 든든세트 참 좋아하셨읍니다. 번창하시길빕니다.
"
8319,45893,아침엔,SOL,3.0,3.3,"가야는이유 : 홈메이드 아메리칸브런치
안가는이유 : 브런치에만 적합한 운영시간

팬케이크,와플 : 직접 만드는 반죽이라 그런지 푹신하고 씹는맛 있는, 소금간이 조금 있는듯, 디저트 느낌보단 식사대용 느낌이라 평범할수도

아주 이른 아침도 아니고 이른 오후에 문을 닫아 이용하기에 애매한 시간, 포장의 경우 용기지참시에만 가능한데 시럽이나 생크림 용기도 따로 준비 필요

"
8320,45897,이솔라,황준영,1.0,2.3,
8321,45897,이솔라,토리얌,5.0,5.0,"분위기도 좋고 음식도 맛있어요.
직원분들도 친절하세요.

전복리조또 정말 맛있네요.
"
8322,45897,이솔라,쁘링,3.0,3.6,"메뉴 잘못나왔는데 양해멘트와 사과없었음 
휴대폰 충전 부탁드렸는데, 식사 다하고 휴대폰을 받고 밖에서 보니까 배터리가 1%라 굉장히 당황스러웠음

테이블이 바쁘지 않았음에도 테이블 케어가 미숙했으며, 저렴하지 않은 금액 주고 기분이 상함…

크림 리조또? 스테이크 올라간건 맛있었음 추천

"
8323,45897,이솔라,달달한꿀물,4.0,3.9,"한강뷰가 진짜 좋아요~ 이번에 가격이 좀더 올라서 아쉽긴 하지만... 그래도 특별한 날 괜찮음.
"
8324,45897,이솔라,ㄱ,4.0,3.9,"가격대는 비싸지만 잘 먹고 왔습니다
"
8325,45897,이솔라,퇴근인,4.0,4.0,"좋았습니다 맛도 있었고 요청사항도 잘 들어주셨고 근데 한구역을 너무 크게 잡으신건가 제가 있던 쪽에 직원분 혼자서너무 바빠서 자주 실수하시더라고요 매니저같으신분이 왔다갔다 하시면서 도와주시긴했는데 그래도 버거워보였습니다
"
8326,45897,이솔라,얌냠,5.0,5.0,"크리스마스 데이트로 갔는데 음식도 맛있고 직원분들도 너무 친절했어요!
덕분에 기분좋게 먹고 나왔습니다
특히 런치코스에서 파스타로 굴파스타가 나왔는데 맛있었어요ㅎㅎ
"
8327,45897,이솔라,cho hankyu,3.0,3.3,"파스타나 이런음식은 그냥 흔히 먹을수 있는 음식인디 스테이크는 좀 맛이 없었다. 조금 질긴 느낌도 있었고 소스도 스테이크의 맛을 더 이끌어주는 느낌이 아니였다. 
그냥 한강 보면서 먹을만한곳
"
8328,45897,이솔라,리뷰왕죨디,2.0,3.7,"음식 맛이 그렇게 뛰어나진 않아요. 한강 자릿값.. 이런 음식점에선 무엇보다 응대태도가 중요하다고 생각하는데 보통 환대받는 느낌+ 친절함은 기본인데...직원들 너무 바빠보이고
.. 예약손님인데 입장하고 바로 누가 나와보지도 않았어요. 기대가 너무 컸던건지 아쉬웠어요. 생수병이랑 잔이 덩그러니 놓여져 있는 것도 조금 놀라웠고....

"
